Fuente;Mensaje;Etiqueta;Descripcion
CHAT; ¡Buenos días mi Amor!  Dormiste bien? Yo me amaneci por este pinche examen :( pero ya nos vemos en clase XD;0;BAJO_RIESGO
TWEET; ¡Mi amor! ¡Muy feliz aniversario! Muchas gracias por todo este tiempo a tu lado me haces el hombre más feliz de la tierra;0;BAJO_RIESGO
TWEET; ¿Cuál es la necesidad de ser tan especial? Gracias por esto y por todo en serio. Me haces muy feliz;0;BAJO_RIESGO
TWEET; Adios linda hermosa bella preciosa amor de mi vida duerme bien ??;0;BAJO_RIESGO
TWEET; Amor como te fue! Cuentamelo todo! Y exagera!;0;BAJO_RIESGO
TWEET; Amor paciencia y respeto con todo mi corazon eso eres para mi :3;0;BAJO_RIESGO
TWEET; Buenos dias hermosa que te dije mi amor no te descuides con eso te vaya a dar la gripe de nuevo!;0;BAJO_RIESGO
TWEET; Buenos días mi amor ? Amaneciste bien? Qué tal todo con tu equipo? Ya se etendieron?;0;BAJO_RIESGO
TWEET; Buenos dias mi amor te amooo!!! Ten un gran día! :3;0;BAJO_RIESGO
TWEET; Buenos días mi amor muchas bendiciones. Ten un día genial :);0;BAJO_RIESGO
TWEET; Buenos días mi amor. Te extrañé un monton pero ya me alegré al verte ?;0;BAJO_RIESGO
TWEET; Buenos días mi querida y hermosa Jan te puedes caer mil veces pero es obligatorio levantarse. ;0;BAJO_RIESGO
TWEET; buenos días señorita solo quiero recordarle que es usted el amor de mi vida y para mi vida te amo ?????;0;BAJO_RIESGO
TWEET; Buenos días mi amor ten un gran día en la pre ???;0;BAJO_RIESGO
COMENTARIO_FB; cada segundo mi mundo mi galaxia mi luna eres tu y tu sentimiento;0;BAJO_RIESGO
TWEET; Como te fue mi amor? Cuentame! ;0;BAJO_RIESGO
TWEET;Ten un gran primer día amor ? me cuentas que fue JAJAJA siii lo mismo!! ?;0;BAJO_RIESGO
COMENTARIO_FB; deseo valorarte y respetarte siempre deseo amarte con todas las fuerzas de mi <3 ;0;BAJO_RIESGO
TWEET; Duerme bien amor. Descanza pechocha eres y segugirás siendo la luz de mi vida ?;0;BAJO_RIESGO
TWEET; en serio eres lo más lindo que tengo me alegras los días con tu sonrisa y me haces demasiado feliz :D;0;BAJO_RIESGO
TWEET; Eres la chica mas linda del mundo mundial estoy super enamorado de ti ??? lo sabes cierto? Me encantass! ?;0;BAJO_RIESGO
TWEET; Eres lo más lindo y adorado de mi vida?? gracias por darme todo tu amor y amistad. Cada día más enamorado de ti ?;0;BAJO_RIESGO
TWEET; Eres muy hermosa gracias por estar siempre a mi lado mi amor preciosa te amo mi vida ;0;BAJO_RIESGO
TWEET; eres tan hermosa me explota el corazón de amor. Te quiero un mundo reina mía.;0;BAJO_RIESGO
TWEET; Eres un amor de persona te quiero muchísimo Esme ?;0;BAJO_RIESGO
TWEET; Eres un amor. Por eso te quiero! Eres como un sueño del que no quiero despertar nunca :3;0;BAJO_RIESGO
CHAT; Es que estoy enamorado de ti! Disculpa si es demasiado pero es cierto y el amor no se puede ocultar al menos no mucho tiempo :O;0;BAJO_RIESGO
TWEET; esque tú no entiendes lo feliz que me haces ? significas mucho para mí. Entiendelo por favor;0;BAJO_RIESGO
CHAT; Estoy enamorado de ti princesa que nada te haga creer algo diferente escucha mis latidos hasta alla suenan por lo grande de mi cariño;0;BAJO_RIESGO
TWEET; Estoy enamorado de ti. Llenas tú mi soledad :D;0;BAJO_RIESGO
TWEET; Estoy perdidamente enamorado de ti me harias caso por favor? ?;0;BAJO_RIESGO
TWEET; Gracias a ti mi amor por estar a mi lado por el camino que estamos escribiendo juntos por todas las cosas tan bonitas que vivimos juntos;0;BAJO_RIESGO
TWEET; Gracias a ti mi amor por hacerme feliz y siempre estar a mi lado felices 9 meses y que sean muchísimos más :D;0;BAJO_RIESGO
TWEET; Gracias a ti por estar siempre a mi lado y nunca soltarme la mano. Eres lo maximo bebe!;0;BAJO_RIESGO
CHAT; Gracias amor te quiero gracias por los consejos les mandé un queso a tu mamá y a ti a la mejor así comienza a aceptarme un poco aunque sea jajaja buen consejito XD;0;BAJO_RIESGO
TWEET; gracias corazón te quiero mucho te admiro y te respeto te amo eres un amor mi admiración y mi respeto :D;0;BAJO_RIESGO
TWEET; Gracias mi amor por siempre estar a mi lado ?? Aguantando todito mi estrés y complicaciones de salud!! eres la mejor!;0;BAJO_RIESGO
TWEET; Gracias por acompañarme amor! En un día tan importante. Me encanta estar a tu lado y compartir la magia de estos momentos especiales;0;BAJO_RIESGO
TWEET; Hola hermosa princesa qué gusto saber de ti preciosa extraño verte por la ?? te amo y te extraño!;0;BAJO_RIESGO
TWEET; HOLA MI AMOR COMO TE FUE? :D;0;BAJO_RIESGO
TWEET; Hola mi amor Muy buenos dias hermosa  Saluditos! ?;0;BAJO_RIESGO
CHAT; Jajajajaja te amo cosita ? iluminas mi vida <3;0;BAJO_RIESGO
TWEET; Lo mismo te digo amor en tus brazos encuentro amor verdadero siempre te cuidaré te daré todo el tiempo que me sea posible! ?;0;BAJO_RIESGO
